section,address,size,symbol,source_file
.text,0x60001030,,drv_bufmgr_RxSubmitDualCircBuff,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(bufmgr.o
.text,0x6000116c,,drv_clkrst_config,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x60001174,,drv_clkrst_i2srxclkenable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x600011ec,,drv_clkrst_i2stxclkenable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x600012b4,,drv_clkrst_config2,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x60001304,,drv_hpdiv_config,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x60001510,,drv_hpdiv_config_intmclk,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x6000171c,,drv_dfs_config,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x60001858,,drv_evctr0_Enable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x600018b0,,drv_evctr0_Enable2,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x60001908,,drv_evctr0_ResultValid,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x6000191c,,drv_evctr0_ClearValid,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x60001938,,drv_evctr0_ReadResult,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x6000194c,,drv_clkrst_GenerateIntBclk,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x600019c0,,drv_clkrst_SwitchToIntBclk,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x600019f4,,drv_clkrst_SwitchToExtBclk,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x60001a30,,drv_i2srx_Open,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(i2srx.o
.text,0x60001b88,,drv_i2srx_Close,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(i2srx.o
.text,0x60001c2c,,drv_i2srx_RegisterCallback,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(i2srx.o
.text,0x60001c50,,drv_i2srx_Enable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(i2srx.o
.text,0x60001c74,,drv_i2srx_SetFormat,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(i2srx.o
.text,0x60001e14,,drv_i2srx_SubmitDualCircBuff,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(i2srx.o
.text,0x60001e98,,drv_i2srx_StopDMA,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(i2srx.o
.text,0x60001eac,,drv_i2srx_ReadDMAStat,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(i2srx.o
.text,0x60001f00,,drv_i2stx_Open,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(i2stx.o
.text,0x60002040,,drv_i2stx_Close,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(i2stx.o
.text,0x600020e8,,drv_i2stx_RegisterCallback,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(i2stx.o
.text,0x6000210c,,drv_i2stx_Enable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(i2stx.o
.text,0x60002130,,drv_i2stx_SetFormat,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(i2stx.o
.text,0x600022d0,,drv_i2stx_SubmitDualCircBuff,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(i2stx.o
.text,0x6000236c,,drv_i2stx_StopDMA,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(i2stx.o
.text,0x60002380,,drv_i2stx_ReadDMAStat,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(i2stx.o
.text,0x600023d8,,drv_irq_proc_init,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600025cc,,drv_irq_handler_0,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600025d4,,drv_irq_handler_1,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600025dc,,drv_irq_handler_2,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600025fc,,drv_irq_handler_3,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002604,,drv_irq_handler_4,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002674,,drv_irq_handler_5,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x6000267c,,drv_irq_handler_6,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600026fc,,drv_irq_handler_7,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002780,,drv_irq_handler_8,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002788,,drv_irq_handler_9,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002790,,drv_irq_handler_10,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002798,,drv_irq_handler_11,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600027a0,,drv_irq_handler_12,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600027a8,,drv_irq_handler_13,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600027b0,,drv_irq_handler_14,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600027b8,,drv_irq_handler_15,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600027c0,,drv_irq_handler_16,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600027c8,,drv_irq_handler_17,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600027d0,,drv_irq_handler_18,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600027d8,,drv_irq_handler_19,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002854,,drv_irq_handler_20,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x6000285c,,drv_irq_handler_21,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002864,,drv_irq_handler_22,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600028f8,,drv_irq_handler_23,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002900,,drv_irq_handler_24,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002908,,drv_irq_handler_25,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002910,,drv_irq_handler_26,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002980,,drv_irq_handler_27,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002988,,drv_irq_handler_28,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002990,,drv_irq_handler_29,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002998,,drv_irq_handler_30,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600029a0,,drv_irq_handler_31,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600029a8,,drv_irq_proc_enable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600029b4,,drv_irq_proc_disable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600029c0,,drv_irq_proc_clear,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600029d4,,drv_irq_proc_set,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x600029e8,,drv_irq_src_is_valid,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002a34,,drv_irq_init,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002a58,,drv_irq_dispatch,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002a80,,drv_irq_enable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002ad8,,drv_irq_disable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002b3c,,drv_irq_disable_all,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002b70,,drv_irq_clear,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002c18,,drv_irq_set,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002cc0,,drv_irq_register,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.text,0x60002ce0,,drv_mutex_MsgRepInit,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(mutex.o
.text,0x60002cf8,,drv_mutex_MsgRepCleanShMem,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(mutex.o
.text,0x60002d20,,drv_mutex_MsgRepIntEnable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(mutex.o
.text,0x60002ebc,,drv_mutex_RegisterMsgRepCallback,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(mutex.o
.text,0x60002ed4,,drv_mutex_SendMsg,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(mutex.o
.text,0x60002f14,,drv_mutex_SendRep,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(mutex.o
.text,0x60002f8c,,drv_mutex_SendMsgInt,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(mutex.o
.text,0x60002fb8,,drv_mutex_SendRepInt,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(mutex.o
.text,0x60003024,,drv_mutex_SYNCSet,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(mutex.o
.text,0x6000303c,,drv_mutex_SYNCClr,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(mutex.o
.text,0x60003054,,drv_mutex_SYNCWrite,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(mutex.o
.text,0x6000306c,,drv_mutex_SYNCRead,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(mutex.o
.text,0x60003088,,drv_padcfg_config,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(padcfg.o
.text,0x60003168,,drv_padcfg_config_bt_slave,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(padcfg.o
.text,0x60003268,,drv_padcfg_MCLKOutEnable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(padcfg.o
.text,0x60003284,,drv_padcfg_IFSEN,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(padcfg.o
.text,0x600032a8,,drv_padcfg_OFSEN,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(padcfg.o
.text,0x600032cc,,drv_padcfg_IFSEN_bt,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(padcfg.o
.text,0x600032f0,,drv_padcfg_InOutEnable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(padcfg.o
.text,0x6000334c,,drv_pinmux_config,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x600035dc,,drv_pinmux_config2,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x600038b4,,drv_pinmux_config_bt_slave,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x60003ad4,,drv_pinmux_config_adc,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x60003d00,,drv_pinmux_iclkconnect,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x60003d94,,drv_pinmux_iclkconnect_bt,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x60003dc4,,drv_pinmux_oclkconnect,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x60003e48,,drv_pinmux_ifsconnect,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x60003edc,,drv_pinmux_ifsconnect_bt,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x60003f0c,,drv_pinmux_ofsconnect,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x60003f80,,drv_pinmux_ifslevel,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x60003f94,,drv_pinmux_ofslevel,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x60003fa8,,drv_pinmux_EnableIFSInt,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x6000400c,,drv_pinmux_EnableIFSInt_bt,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x60004058,,drv_pinmux_DisableIFSInt,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x60004064,,drv_pinmux_EnableOFSInt,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x600040d0,,drv_pinmux_DisableOFSInt,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x600040dc,,drv_pinmux_SPIFlashCfg,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x600041ac,,drv_pinmux_XIPFlashCfg,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pinmux.o
.text,0x60004290,,drv_pll_config,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pll.o
.text,0x600043f4,,drv_pll_config2,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pll.o
.text,0x60004558,,drv_pll_config3,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pll.o
.text,0x600046bc,,drv_pll_config4,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pll.o
.text,0x60004820,,drv_pll_config5,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pll.o
.text,0x60004984,,drv_pll_config6,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pll.o
.text,0x60004ae8,,drv_pll_CPUClockSel,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(pll.o
.text,0x60004b10,,drv_frt_Init,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(frt.o
.text,0x60004b40,,drv_frt_Start,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(frt.o
.text,0x60004b54,,drv_frt_Pause,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(frt.o
.text,0x60004b68,,drv_frt_Clear,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(frt.o
.text,0x60004b7c,,drv_frt_Read,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(frt.o
.text.__clibrary_init,0x60004b94,,__clibrary_init,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/lib/\libc.a(clibrary_init.o
.text.exit,0x60004bb0,,exit,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/lib/\libc.a(xtensa_exit.o
.text._init_reent_bss,0x60004c28,,_init_reent_bss,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/lib/\libc.a(reent_bss.o
.text,0x60004c40,,_Exit,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/lib/\libc.a(xexit.o
.text,0x60004c48,,xtos_interrupt_enable,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(xtos-interrupt-enable.o
.text,0x60004c84,,xtos_interrupt_disable,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(xtos-interrupt-disable.o
.text,0x60004cc0,,xtos_set_interrupt_handler,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(xtos-set-inthandler.o
.text,0x60004d14,,_exit,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(exit.o
.text,0x60004d34,,_UserExceptionFromVector,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(user-vector.o
.text,0x60004d48,,_xtos_l1int_handler,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(int-lowpri-dispatcher.o
.text,0x60004d66,,_LevelOneInterrupt,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(int-lowpri-dispatcher.o
.text,0x60004e44,,_Level2FromVector,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(int-handler-level2.o
.text,0x60004f6c,,_xtos_syscall_handler,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(exc-syscall-handler.o
.text,0x60004fab,,_SyscallException,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(exc-syscall-handler.o
.text.MemErrorHandler,0x60004fdc,,_MemErrorHandler,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(memerror-vector-S--handler-.o
.text,0x60005120,,xthal_set_cache_prefetch_long,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhal.a(cache_asm--set_cache_prefetch_long.o
.text,0x60005180,,memcmp,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/lib/\libc.a(memcmp.o
.text,0x60005200,,memcpy,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/lib/\libc.a(memcpy.o
.text,0x60005358,,memset,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/lib/\libc.a(memset.o
.text,0x600053ac,,board_init,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/lib/\libgdbio.a(miniboard.o
