section,address,size,symbol,source_file
.Isr.data,0x6002a100,,I2SRX0Buff0Cnt,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002a104,,I2SRX0Buff1Cnt,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002a108,,I2SRX0Cnt,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002a10c,,I2STX2Buff0Cnt,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002a110,,I2STX2Buff1Cnt,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002a114,,I2STX2Cnt,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002a118,,BlockRcvd0,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002a119,,BlockSent2,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002a400,,I2SRX2Buff0,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002a800,,I2SRX0Buff1,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002ac00,,I2SRX8Buff1,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002b000,,I2SRX1Buff1,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002b400,,I2SRX2Buff1,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002b800,,I2STX2Buff0,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002bc00,,I2STX6Buff0,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002c000,,I2STX3Buff0,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002c400,,I2STX4Buff0,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002c800,,I2STX7Buff0,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002cc00,,I2STX8Buff0,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002d000,,I2STX2Buff1,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002d400,,I2STX6Buff1,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
.Isr.data,0x6002d800,,I2STX3Buff1,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/isr_handler.o
